source_file,sheet_name,row_index,column_index,code,message
D:\Coding\Duty Rota software\data\source\historical\April Rota 2026.xlsx,Sheet1,44,1,UNMAPPED_DUTY_LABEL,Could not map duty label: JUNIOR-1
D:\Coding\Duty Rota software\data\source\historical\April Rota 2026.xlsx,Sheet1,45,1,UNMAPPED_DUTY_LABEL,Could not map duty label: JUNIOR -2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,22,9,INVALID_PERSON_NAME,Discarded non-person rota value: 5
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,22,24,INVALID_PERSON_NAME,Discarded non-person rota value: 5
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,11,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,12,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,13,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,14,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,15,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,18,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,19,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,20,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,21,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,22,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,25,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,26,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,27,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,28,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\February 2025 Duty Rota.xlsx,Sheet1,41,29,INVALID_PERSON_NAME,Discarded non-person rota value: 2
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,7,30,INVALID_PERSON_NAME,Discarded non-person rota value: 4.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,24,31,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,11,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,12,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,13,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,14,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,15,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,18,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,19,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,20,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,21,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,22,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,25,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,26,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,27,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,28,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,29,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MARCH 2025 ROTA.xlsx,Sheet1,43,32,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,5,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,6,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,7,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,8,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,9,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,12,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,13,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,14,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,15,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,16,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,19,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,20,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,21,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,22,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,23,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,26,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,27,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,28,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,29,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,39,30,INVALID_PERSON_NAME,Discarded non-person rota value: 2.0
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,42,1,UNMAPPED_DUTY_LABEL,Could not map duty label: JUNIOR-1
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,1,UNMAPPED_DUTY_LABEL,Could not map duty label: JUNIOR -2
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,2,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,5,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,6,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,7,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,8,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,9,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,12,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,13,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,14,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,15,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,16,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,19,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,20,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,21,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,22,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,23,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,26,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,27,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,28,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,29,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,43,30,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,3,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,4,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,10,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,11,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,17,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,18,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,24,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,25,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,31,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,44,32,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,45,1,UNMAPPED_DUTY_LABEL,Could not map duty label: DM CO -CALL
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,45,2,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,45,3,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,45,5,INVALID_PERSON_NAME,Discarded non-person rota value: ----
D:\Coding\Duty Rota software\data\source\historical\MAY ROTA 2026.xlsx,Sheet1,45,6,INVALID_PERSON_NAME,Discarded non-person rota value: ----
